,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
0,China,81285,67.0,3287.0,6.0,74051.0,3947,1235.0,56.0,2.0
1,Italy,74386,0.0,7503.0,0.0,9362.0,57521,3489.0,1230.0,124.0
2,USA,68489,278.0,1032.0,5.0,394.0,67063,1455.0,207.0,3.0
3,Spain,49515,0.0,3647.0,0.0,5367.0,40501,3166.0,1059.0,78.0
4,Germany,37323,0.0,206.0,0.0,3547.0,33570,23.0,445.0,2.0
5,Iran,27017,0.0,2077.0,0.0,9625.0,15315,0.0,322.0,25.0
6,France,25233,0.0,1331.0,0.0,3900.0,20002,2827.0,387.0,20.0
7,Switzerland,10897,0.0,153.0,0.0,131.0,10613,141.0,1259.0,18.0
8,UK,9529,0.0,465.0,0.0,135.0,8929,163.0,140.0,7.0
9,S. Korea,9241,104.0,131.0,5.0,4144.0,4966,59.0,180.0,3.0
10,Netherlands,6412,0.0,356.0,0.0,3.0,6053,582.0,374.0,21.0
11,Austria,5588,0.0,31.0,0.0,9.0,5548,28.0,620.0,3.0
12,Belgium,4937,0.0,178.0,0.0,547.0,4212,474.0,426.0,15.0
13,Canada,3409,0.0,36.0,0.0,185.0,3188,1.0,90.0,1.0
14,Norway,3100,16.0,14.0,0.0,6.0,3080,57.0,572.0,3.0
15,Portugal,2995,0.0,43.0,0.0,22.0,2930,61.0,294.0,4.0
16,Australia,2766,90.0,12.0,1.0,170.0,2584,11.0,108.0,0.5
17,Brazil,2554,0.0,59.0,0.0,2.0,2493,18.0,12.0,0.3
18,Sweden,2526,0.0,62.0,0.0,16.0,2448,158.0,250.0,6.0
19,Turkey,2433,0.0,59.0,0.0,26.0,2348,136.0,29.0,0.7
20,Israel,2369,0.0,5.0,0.0,58.0,2306,37.0,274.0,0.6
21,Malaysia,1796,0.0,20.0,0.0,199.0,1577,64.0,55.0,0.6
22,Denmark,1724,0.0,34.0,0.0,1.0,1689,87.0,298.0,6.0
23,Czechia,1654,0.0,6.0,0.0,10.0,1638,19.0,154.0,0.6
24,Ireland,1564,0.0,9.0,0.0,5.0,1550,39.0,317.0,2.0
25,Luxembourg,1333,0.0,8.0,0.0,6.0,1319,3.0,2129.0,13.0
26,Japan,1307,0.0,45.0,0.0,310.0,952,57.0,10.0,0.4
27,Ecuador,1211,0.0,29.0,0.0,3.0,1179,2.0,69.0,2.0
28,Chile,1142,0.0,3.0,0.0,22.0,1117,7.0,60.0,0.2
29,Pakistan,1093,30.0,8.0,0.0,21.0,1064,5.0,5.0,0.04
30,Poland,1051,0.0,14.0,0.0,7.0,1030,3.0,28.0,0.4
31,Thailand,1045,111.0,4.0,0.0,70.0,971,11.0,15.0,0.06
32,Romania,906,0.0,17.0,0.0,86.0,803,18.0,47.0,0.9
33,Saudi Arabia,900,0.0,2.0,0.0,29.0,869,0.0,26.0,0.06
34,Finland,880,0.0,3.0,0.0,10.0,867,22.0,159.0,0.5
35,Greece,821,0.0,22.0,0.0,36.0,763,53.0,79.0,2.0
36,Indonesia,790,0.0,58.0,0.0,31.0,701,0.0,3.0,0.2
37,Iceland,737,0.0,2.0,0.0,56.0,679,11.0,2160.0,6.0
38,Diamond Princess,712,0.0,10.0,0.0,597.0,105,15.0,0.0,0.0
39,South Africa,709,0.0,0.0,0.0,12.0,697,2.0,12.0,0.0
40,India,665,8.0,13.0,1.0,43.0,609,0.0,0.5,0.01
41,Russia,658,0.0,3.0,0.0,29.0,626,8.0,5.0,0.02
42,Philippines,636,0.0,38.0,0.0,26.0,572,1.0,6.0,0.3
43,Singapore,631,0.0,2.0,0.0,160.0,469,17.0,108.0,0.3
44,Panama,558,0.0,8.0,0.0,2.0,548,20.0,129.0,2.0
45,Qatar,537,0.0,0.0,0.0,41.0,496,6.0,186.0,0.0
46,Slovenia,528,0.0,5.0,0.0,10.0,513,14.0,254.0,2.0
47,Argentina,502,0.0,8.0,0.0,52.0,442,0.0,11.0,0.2
48,Peru,480,0.0,9.0,0.0,1.0,470,9.0,15.0,0.3
49,Mexico,475,70.0,6.0,1.0,4.0,465,1.0,4.0,0.05
